Node_ID,Node_Type,Trust_Value,Detection_Confidence,Energy,Packets_Forwarded,Packets_Dropped,RREQ_Forwarded,RREP_Forwarded,Forwarding_Ratio,Control_Packet_Ratio,Sequence_Number_Difference,Reply_Count,Suspicious_Activities,Trust_Stability
Node_3104,Suspicious,0.41,0.42,0.3,133,429,11,37,0.87,0.12,65,4,3,0.52
Node_3105,Normal,0.35,0.51,0.63,414,13,13,12,0.14,0.45,43,40,0,0.83
Node_3106,Suspicious,0.49,0.69,0.9,484,130,16,20,0.65,0.43,8,44,3,0.54
Node_3107,Normal,0.86,0.38,0.89,220,99,8,29,0.86,0.07,78,5,2,0.99
Node_3108,Suspicious,0.29,0.78,0.81,345,104,1,29,0.22,0.13,64,3,5,0.3
Node_3109,Suspicious,0.57,0.33,0.89,88,426,5,9,0.35,0.4,34,37,4,0.27
Node_3110,Suspicious,0.1,0.35,0.52,148,400,4,3,0.81,0.17,42,18,4,0.23
Node_3111,Normal,0.66,0.32,0.71,146,92,15,22,0.17,0.16,45,21,0,0.61
Node_3112,Normal,0.44,0.25,0.42,356,12,5,39,0.9,0.2,30,24,0,0.49
Node_3113,Normal,0.75,0.41,0.91,196,84,13,26,0.2,0.48,25,44,0,0.77
Node_3114,Normal,0.29,0.48,0.44,147,58,19,17,0.44,0.12,58,36,1,0.6
Node_3115,Normal,0.72,0.25,0.65,131,89,17,36,0.13,0.24,6,9,1,0.57
Node_3116,Normal,0.45,0.67,0.64,258,56,2,38,0.39,0.17,7,11,2,0.84
Node_3117,Normal,0.46,0.83,0.33,458,84,16,24,0.89,0.42,53,38,0,0.49
Node_3118,Normal,0.5,0.15,0.74,51,23,19,23,0.26,0.18,30,33,0,0.97
Node_3119,Normal,0.23,0.27,0.23,347,29,2,22,0.98,0.24,61,47,1,0.79
Node_3120,Normal,0.29,0.18,0.32,1,60,18,4,0.74,0.36,41,5,1,0.4
Node_3121,Normal,0.15,0.47,0.31,135,78,1,40,0.48,0.36,5,12,1,0.65
Node_3122,Normal,0.59,0.21,0.31,360,51,18,10,0.83,0.28,72,36,1,0.49
Node_3123,Normal,0.72,0.29,0.95,444,89,1,35,0.42,0.36,57,45,2,0.66
Node_3124,Normal,0.84,0.48,0.57,479,71,6,11,0.74,0.23,43,9,1,0.37
Node_3125,Normal,0.27,0.39,0.94,173,11,3,18,0.5,0.3,25,18,2,0.43
Node_3126,Normal,0.33,0.79,0.31,343,57,3,38,0.64,0.19,76,11,1,0.57
Node_3127,Normal,0.8,0.84,0.67,180,4,10,14,0.61,0.05,1,28,0,0.94
Node_3128,Normal,0.54,0.71,0.24,55,21,16,8,0.48,0.36,95,13,2,0.68
Node_3129,Normal,0.3,0.25,0.18,52,16,17,38,0.94,0.14,44,39,1,0.5
Node_3130,Normal,0.42,0.14,0.38,142,31,6,33,0.13,0.3,71,42,0,0.78
Node_3131,Suspicious,0.84,0.68,0.84,81,145,1,0,0.14,0.5,61,44,0,0.26
Node_3132,Normal,0.38,0.37,0.62,221,46,18,29,0.41,0.41,25,50,1,0.92
Node_3133,Normal,0.45,0.35,0.72,467,52,5,17,0.78,0.39,90,7,1,0.61
Node_3134,Normal,0.2,0.17,0.92,438,74,4,31,0.55,0.13,73,36,2,0.35
Node_3135,Suspicious,0.12,0.89,0.12,220,243,18,14,0.52,0.1,70,50,2,0.39
Node_3136,Suspicious,0.25,0.64,0.52,343,461,12,25,0.81,0.28,67,9,4,0.37
Node_3137,Normal,0.83,0.11,0.5,263,41,0,37,0.95,0.15,54,44,0,0.74
Node_3138,Normal,0.12,0.58,0.49,265,12,9,15,0.65,0.31,9,32,1,0.76
Node_3139,Normal,0.24,0.58,0.94,377,67,16,22,0.99,0.27,97,31,0,0.82
Node_3140,Normal,0.38,0.17,0.55,305,100,1,15,0.79,0.38,73,38,1,0.47
Node_3141,Confirmed Black Hole,0.1,0.46,0.57,238,33,5,4,0.93,0.46,43,29,3,0.51
Node_3142,Normal,0.75,0.22,0.41,479,42,5,23,0.75,0.22,46,32,0,0.41
Node_3143,Normal,0.76,0.85,0.5,389,33,12,28,0.29,0.4,26,8,2,0.46
Node_3144,Normal,0.56,0.86,0.2,383,95,1,2,0.72,0.1,31,35,2,0.94
Node_3145,Normal,0.16,0.81,0.94,302,68,10,31,0.61,0.49,72,7,1,0.89
Node_3146,Normal,0.58,0.61,0.91,84,67,20,18,0.39,0.21,76,48,0,0.72
Node_3147,Normal,0.74,0.31,0.36,458,56,6,37,0.82,0.31,85,43,1,0.31
Node_3148,Normal,0.56,0.1,0.17,338,35,14,19,0.13,0.1,79,27,2,0.7
Node_3149,Normal,0.72,0.19,0.23,421,65,7,6,0.55,0.26,100,14,2,0.94
Node_3150,Normal,0.61,0.65,0.15,168,69,0,13,0.52,0.09,69,26,1,0.47
Node_3151,Normal,0.11,0.89,0.29,250,15,9,25,0.69,0.44,48,22,2,0.86
Node_3152,Normal,0.84,0.88,0.55,399,61,0,37,0.76,0.35,70,12,0,0.61
Node_3153,Normal,0.13,0.32,0.83,131,2,15,31,0.88,0.41,76,37,2,0.69
Node_3154,Normal,0.43,0.67,0.52,31,2,5,33,0.77,0.29,71,6,2,0.74
Node_3155,Normal,0.28,0.68,0.43,13,32,18,8,0.24,0.09,8,12,0,0.89
Node_3156,Normal,0.45,0.5,0.82,466,86,7,29,0.99,0.47,85,46,2,0.58
Node_3157,Normal,0.16,0.37,0.95,209,97,0,15,0.27,0.48,54,26,1,0.66
Node_3158,Normal,0.69,0.59,0.33,324,63,13,16,0.82,0.39,51,15,1,0.39
Node_3159,Normal,0.33,0.57,0.47,308,1,4,18,0.56,0.39,74,42,2,0.94
Node_3160,Normal,0.83,0.67,0.26,407,99,1,39,0.66,0.34,10,34,0,0.72
Node_3161,Confirmed Black Hole,0.1,0.43,0.32,388,211,17,31,0.29,0.05,56,37,7,0.37
Node_3162,Suspicious,0.14,0.45,0.92,177,123,4,35,0.57,0.28,75,38,6,0.53
Node_3163,Normal,0.45,0.29,0.42,161,92,10,10,0.35,0.28,97,13,1,0.72
Node_3164,Normal,0.18,0.57,0.53,43,43,9,25,0.26,0.14,96,18,2,0.58
Node_3165,Normal,0.49,0.58,0.81,269,30,20,11,0.5,0.21,79,47,2,0.3
Node_3166,Normal,0.14,0.48,0.67,178,50,4,16,0.42,0.35,90,27,1,0.69
Node_3167,Normal,0.51,0.69,0.64,373,12,3,16,0.67,0.38,63,49,2,0.31
Node_3168,Normal,0.86,0.12,0.39,425,42,7,19,0.76,0.2,29,19,0,0.99
Node_3169,Normal,0.38,0.66,0.53,62,2,20,33,0.73,0.01,25,11,2,0.95
Node_3170,Normal,0.13,0.81,0.84,105,59,14,29,0.55,0.37,22,16,2,0.67
Node_3171,Suspicious,0.16,0.71,0.13,150,139,14,14,0.19,0.05,63,10,0,0.37
Node_3172,Suspicious,0.72,0.43,0.62,436,329,4,39,0.32,0.38,84,22,3,0.39
Node_3173,Normal,0.4,0.44,0.38,75,94,0,10,0.32,0.49,69,38,0,0.92
Node_3174,Normal,0.64,0.73,0.47,297,39,7,34,0.21,0.36,84,26,0,0.8
Node_3175,Suspicious,0.6,0.27,0.94,316,431,13,31,0.73,0.3,94,1,7,0.14
Node_3176,Normal,0.54,0.53,0.18,26,90,9,28,0.53,0.31,59,11,2,0.57
Node_3177,Normal,0.75,0.4,0.12,256,15,12,33,0.58,0.21,85,15,1,0.37
Node_3178,Normal,0.33,0.79,0.27,487,27,14,14,0.53,0.29,45,46,1,0.76
Node_3179,Normal,0.24,0.19,0.21,116,63,12,38,0.5,0.18,52,16,2,0.92
Node_3180,Suspicious,0.62,0.21,0.43,367,395,6,13,0.71,0.08,68,23,2,0.19
Node_3181,Normal,0.36,0.42,0.64,186,3,17,27,0.38,0.15,21,36,0,0.58
Node_3182,Normal,0.53,0.64,0.24,152,24,5,24,0.32,0.26,37,49,1,0.44
Node_3183,Suspicious,0.44,0.46,0.92,484,389,2,12,0.5,0.43,0,43,9,0.19
Node_3184,Normal,0.13,0.88,0.39,24,5,16,35,0.66,0.42,70,5,1,0.69
Node_3185,Normal,0.34,0.5,0.82,468,10,3,27,0.35,0.05,12,4,0,0.6
Node_3186,Normal,0.81,0.59,0.89,195,65,17,29,0.13,0.33,33,40,2,0.91
Node_3187,Normal,0.79,0.21,0.15,204,14,2,20,0.98,0.42,100,6,2,0.78
Node_3188,Suspicious,0.49,0.41,0.83,85,247,2,14,0.3,0.07,52,40,0,0.14
Node_3189,Suspicious,0.6,0.51,0.88,410,177,17,2,0.25,0.31,99,40,1,0.48
Node_3190,Normal,0.83,0.8,0.6,430,100,7,2,0.43,0.4,27,40,0,0.78
Node_3191,Normal,0.86,0.16,0.58,276,26,1,28,0.35,0.42,28,32,2,0.43
Node_3192,Normal,0.77,0.23,0.3,22,54,17,2,0.14,0.08,34,43,1,0.44
Node_3193,Normal,0.41,0.21,0.28,222,49,4,38,0.28,0.25,1,37,0,0.55
Node_3194,Normal,0.56,0.22,0.92,83,73,20,0,0.85,0.19,4,18,0,0.63
Node_3195,Normal,0.74,0.3,0.81,317,38,12,3,1.0,0.05,42,10,2,0.81
Node_3196,Confirmed Black Hole,0.09,0.6,0.86,224,364,13,36,0.8,0.43,89,38,7,0.2
Node_3197,Normal,0.29,0.88,0.54,198,53,2,22,0.62,0.12,46,37,2,0.94
Node_3198,Confirmed Black Hole,0.13,0.79,0.53,33,410,11,12,0.29,0.05,29,40,5,0.44
Node_3199,Normal,0.19,0.55,0.53,136,45,1,11,0.78,0.44,17,37,2,0.42
Node_3200,Normal,0.19,0.18,0.52,315,21,4,39,0.7,0.22,61,4,1,0.77
Node_3201,Suspicious,0.49,0.62,0.78,281,323,14,21,0.26,0.31,77,3,4,0.3
Node_3202,Normal,0.21,0.51,0.98,282,66,5,27,0.52,0.24,49,19,2,0.75
Node_3203,Suspicious,0.19,0.7,0.21,311,500,18,22,0.79,0.34,78,32,5,0.11
Node_3204,Normal,0.73,0.33,0.45,122,100,10,26,0.52,0.47,21,4,0,0.41
Node_3205,Normal,0.24,0.79,0.66,118,75,16,34,0.94,0.35,12,48,1,0.33
Node_3206,Suspicious,0.59,0.85,0.72,284,71,6,15,0.42,0.03,41,0,10,0.27
Node_3207,Suspicious,0.43,0.1,0.45,341,3,8,9,0.54,0.08,75,11,2,0.23
Node_3208,Normal,0.39,0.62,0.8,136,53,7,31,0.97,0.06,69,28,1,0.55
Node_3209,Normal,0.48,0.46,0.97,245,84,16,28,0.17,0.24,80,23,1,0.51
Node_3210,Suspicious,0.5,0.44,0.59,419,171,13,16,0.91,0.24,25,2,7,0.5
Node_3211,Normal,0.54,0.58,0.45,184,41,19,40,0.94,0.17,59,0,1,0.48
Node_3212,Normal,0.2,0.8,0.82,227,8,10,8,0.3,0.19,36,39,1,0.48
Node_3213,Normal,0.12,0.17,1.0,341,38,9,35,0.18,0.44,76,1,2,0.65
Node_3214,Normal,0.86,0.81,0.19,176,25,4,0,0.17,0.05,27,3,2,0.53
Node_3215,Normal,0.25,0.38,0.73,116,43,10,24,0.57,0.11,44,47,0,0.97
Node_3216,Suspicious,0.11,0.17,0.6,459,490,8,23,0.21,0.47,63,11,2,0.15
Node_3217,Normal,0.15,0.27,0.62,101,97,16,9,0.59,0.46,95,7,2,0.89
Node_3218,Confirmed Black Hole,0.01,0.46,0.25,213,392,4,22,0.34,0.33,18,1,7,0.2
Node_3219,Normal,0.8,0.54,0.26,264,77,13,30,0.9,0.43,54,13,1,0.4
Node_3220,Confirmed Black Hole,0.18,0.74,0.27,89,415,3,2,0.19,0.22,79,28,1,0.52
Node_3221,Normal,0.86,0.21,0.5,58,52,20,1,0.29,0.49,32,2,0,0.73
Node_3222,Normal,0.44,0.38,0.82,88,67,7,0,0.32,0.37,3,40,1,0.84
Node_3223,Normal,0.88,0.23,0.41,320,62,8,12,0.38,0.09,30,21,2,0.56
Node_3224,Normal,0.49,0.74,0.35,453,36,17,9,0.11,0.38,88,11,2,0.39
Node_3225,Normal,0.14,0.83,0.61,211,27,11,30,0.91,0.26,25,18,2,0.81
Node_3226,Normal,0.71,0.14,0.54,348,36,11,38,0.69,0.07,53,47,2,0.69
Node_3227,Suspicious,0.17,0.28,0.55,209,194,0,40,0.92,0.14,21,0,2,0.44
Node_3228,Normal,0.59,0.57,0.53,76,36,7,34,1.0,0.43,44,15,2,0.93
Node_3229,Normal,0.86,0.85,0.22,155,88,11,33,0.22,0.07,9,24,2,0.32
Node_3230,Normal,0.4,0.39,0.58,371,88,13,20,0.61,0.44,77,0,0,0.65
Node_3231,Normal,0.72,0.61,0.82,352,26,12,24,0.46,0.06,96,6,2,0.95
Node_3232,Normal,0.2,0.49,0.93,216,83,17,33,0.37,0.08,63,50,0,0.92
Node_3233,Normal,0.3,0.26,0.85,433,84,8,15,0.95,0.38,56,16,1,0.98
Node_3234,Normal,0.42,0.74,0.41,209,8,13,40,0.68,0.4,92,29,1,0.98
Node_3235,Normal,0.72,0.75,0.57,402,7,10,39,0.73,0.49,39,35,0,0.39
Node_3236,Normal,0.73,0.68,0.23,113,6,4,32,0.5,0.32,97,47,1,0.3
Node_3237,Normal,0.67,0.83,1.0,409,25,12,25,0.78,0.41,96,10,2,0.87
Node_3238,Normal,0.19,0.63,0.36,408,39,16,9,0.63,0.07,10,16,0,0.53
Node_3239,Confirmed Black Hole,0.06,0.27,0.4,351,364,16,18,0.91,0.27,97,12,3,0.3
Node_3240,Confirmed Black Hole,0.05,0.72,0.68,244,56,9,36,0.39,0.35,70,44,0,0.14
Node_3241,Normal,0.12,0.59,0.99,319,69,4,10,0.4,0.13,49,31,2,0.53
Node_3242,Normal,0.64,0.32,0.93,73,67,1,23,0.54,0.1,91,43,1,0.92
Node_3243,Normal,0.23,0.82,0.71,181,65,5,0,0.84,0.45,94,16,2,0.9
Node_3244,Normal,0.56,0.57,0.47,147,71,0,3,0.13,0.11,52,24,0,0.6
Node_3245,Suspicious,0.65,0.88,0.58,412,483,5,12,0.75,0.39,60,3,3,0.2
Node_3246,Normal,0.24,0.9,0.8,163,94,9,6,0.39,0.17,4,31,1,0.67
Node_3247,Suspicious,0.61,0.47,0.41,409,345,1,25,0.22,0.11,50,2,1,0.34
Node_3248,Normal,0.53,0.24,0.96,146,41,11,28,0.26,0.38,63,31,1,1.0
Node_3249,Normal,0.74,0.15,0.15,227,78,9,24,0.16,0.36,39,10,0,0.43
Node_3250,Confirmed Black Hole,0.19,0.56,0.56,158,242,0,11,0.68,0.49,65,30,8,0.33
Node_3251,Normal,0.41,0.48,0.65,425,15,7,40,0.42,0.33,77,43,1,0.68
Node_3252,Normal,0.14,0.43,0.42,346,43,3,3,0.95,0.28,94,45,1,0.53
Node_3253,Normal,0.76,0.2,0.15,448,94,4,15,0.64,0.2,31,5,0,0.58
Node_3254,Normal,0.2,0.16,0.45,140,57,1,17,0.22,0.06,34,9,1,0.63
Node_3255,Normal,0.24,0.75,0.43,54,40,7,14,0.91,0.18,67,44,1,0.94
Node_3256,Normal,0.32,0.26,0.46,166,84,18,25,0.19,0.11,0,7,1,0.34
Node_3257,Normal,0.57,0.67,0.3,289,1,14,34,0.3,0.1,95,8,2,0.37
Node_3258,Normal,0.58,0.85,0.53,413,77,20,7,0.76,0.02,70,50,0,0.94
Node_3259,Suspicious,0.5,0.49,0.78,229,488,0,23,0.69,0.28,30,50,3,0.17
Node_3260,Normal,0.58,0.45,0.18,6,51,18,27,0.34,0.2,16,4,1,0.93
Node_3261,Normal,0.79,0.28,0.57,91,78,0,32,0.25,0.28,18,26,0,0.64
Node_3262,Normal,0.22,0.68,0.22,151,92,20,11,0.55,0.16,91,23,2,0.8
Node_3263,Normal,0.69,0.2,0.75,499,68,7,39,0.41,0.2,44,34,0,0.97
Node_3264,Normal,0.26,0.85,0.48,115,2,10,29,0.79,0.04,70,30,1,0.7
Node_3265,Normal,0.82,0.35,0.31,209,50,1,24,0.14,0.28,92,5,2,0.39
Node_3266,Normal,0.68,0.47,0.59,78,35,19,29,0.23,0.11,93,34,0,0.83
Node_3267,Normal,0.46,0.18,0.76,256,56,5,34,0.85,0.39,9,16,2,0.76
Node_3268,Normal,0.43,0.87,0.85,61,27,16,35,0.81,0.13,76,38,1,0.69
Node_3269,Normal,0.11,0.28,0.23,137,69,11,34,0.75,0.16,54,22,2,0.39
Node_3270,Suspicious,0.14,0.54,0.17,411,465,19,22,0.3,0.2,92,13,7,0.34
Node_3271,Normal,0.18,0.65,0.91,299,18,11,2,0.74,0.44,13,13,1,0.58
Node_3272,Confirmed Black Hole,0.02,0.26,0.23,106,449,7,9,0.85,0.19,3,20,6,0.3
Node_3273,Suspicious,0.17,0.56,0.69,451,176,17,24,0.83,0.16,30,3,10,0.23
Node_3274,Normal,0.51,0.48,0.6,188,18,9,1,0.92,0.39,87,28,2,0.51
Node_3275,Normal,0.16,0.32,0.91,474,90,15,11,0.72,0.16,85,30,2,0.71
Node_3276,Normal,0.32,0.82,0.8,493,99,12,34,0.26,0.42,2,43,2,0.75
Node_3277,Normal,0.68,0.21,0.21,373,27,2,7,1.0,0.17,66,21,1,0.82
Node_3278,Normal,0.18,0.54,0.71,48,100,17,7,0.96,0.35,86,0,2,0.69
Node_3279,Suspicious,0.15,0.82,0.83,156,270,10,13,0.61,0.16,65,32,0,0.53
Node_3280,Normal,0.78,0.35,0.87,136,58,0,40,0.83,0.12,81,33,1,0.52
Node_3281,Normal,0.51,0.58,0.3,449,89,11,27,0.91,0.06,81,30,0,0.58
Node_3282,Confirmed Black Hole,0.03,0.4,0.93,443,270,5,3,0.65,0.45,53,27,3,0.23
Node_3283,Normal,0.55,0.83,0.65,363,95,17,27,0.44,0.04,73,46,1,0.85
Node_3284,Normal,0.45,0.66,0.11,8,61,0,15,0.52,0.24,49,35,0,0.41
Node_3285,Normal,0.76,0.11,0.64,198,85,4,24,0.48,0.15,57,41,1,0.91
Node_3286,Normal,0.4,0.19,0.68,68,25,7,40,0.42,0.45,100,2,1,0.39
Node_3287,Normal,0.48,0.37,0.48,245,43,10,32,0.9,0.34,56,28,1,0.3
Node_3288,Normal,0.54,0.61,0.64,477,0,13,2,0.4,0.04,15,12,2,0.42
Node_3289,Normal,0.42,0.51,0.95,60,40,12,24,0.11,0.24,68,22,2,0.47
Node_3290,Normal,0.72,0.61,0.35,373,11,19,33,0.77,0.06,4,14,2,0.59
Node_3291,Suspicious,0.23,0.4,0.74,329,375,18,3,0.13,0.29,24,18,4,0.2
Node_3292,Normal,0.52,0.55,0.74,236,13,19,17,0.14,0.42,22,3,1,0.34
Node_3293,Suspicious,0.5,0.77,0.52,397,50,17,35,0.56,0.1,58,18,8,0.19
Node_3294,Normal,0.39,0.22,0.42,50,27,3,29,0.7,0.1,12,2,2,0.46
Node_3295,Normal,0.84,0.75,0.48,407,82,0,30,0.45,0.42,64,24,0,0.77
Node_3296,Normal,0.83,0.64,0.41,184,89,14,7,0.65,0.06,82,30,2,0.57
Node_3297,Confirmed Black Hole,0.14,0.67,0.93,252,74,2,22,0.92,0.38,56,17,2,0.44
Node_3298,Normal,0.41,0.23,0.46,224,44,16,14,0.28,0.25,50,24,1,0.54
Node_3299,Normal,0.4,0.47,0.25,464,35,20,30,0.29,0.17,40,43,1,0.57
Node_3300,Suspicious,0.66,0.51,0.1,230,13,1,33,0.83,0.32,64,33,3,0.44
Node_3301,Normal,0.61,0.48,0.41,390,26,9,9,0.44,0.46,90,17,0,0.37
Node_3302,Suspicious,0.79,0.45,0.68,53,161,8,14,0.99,0.02,0,44,9,0.24
Node_3303,Normal,0.22,0.39,0.41,469,44,20,12,0.16,0.4,55,3,2,0.74
Node_3304,Normal,0.49,0.22,0.51,436,77,8,15,0.43,0.31,8,44,2,0.41
Node_3305,Normal,0.48,0.44,0.4,413,46,16,4,0.1,0.12,0,44,1,0.37
Node_3306,Normal,0.86,0.65,0.94,214,21,17,8,0.41,0.25,5,2,0,0.54
Node_3307,Normal,0.38,0.89,0.43,52,52,0,3,0.46,0.01,51,46,1,0.85
Node_3308,Normal,0.32,0.74,0.5,372,67,2,23,0.42,0.2,94,30,1,0.89
Node_3309,Normal,0.19,0.47,0.7,173,90,10,16,0.27,0.13,52,36,2,0.77
Node_3310,Normal,0.85,0.53,0.14,296,14,5,25,0.56,0.2,67,0,2,0.69
Node_3311,Normal,0.42,0.13,0.47,109,72,18,10,0.85,0.06,35,41,1,0.69
Node_3312,Normal,0.22,0.2,0.56,20,28,20,0,0.75,0.3,79,38,1,0.94
Node_3313,Normal,0.36,0.6,0.62,177,68,19,9,0.54,0.35,63,49,0,0.62
Node_3314,Normal,0.34,0.12,0.39,205,32,10,22,0.49,0.36,66,32,0,0.99
Node_3315,Normal,0.36,0.53,0.6,12,63,6,6,0.46,0.29,50,14,0,0.47
Node_3316,Suspicious,0.88,0.61,0.72,345,34,15,15,0.75,0.29,78,22,5,0.42
Node_3317,Normal,0.6,0.15,0.85,225,11,8,6,0.43,0.3,35,26,0,0.86
Node_3318,Normal,0.86,0.68,0.44,390,60,1,15,0.95,0.24,47,31,2,0.73
Node_3319,Suspicious,0.18,0.51,0.58,249,86,4,24,0.8,0.43,1,46,4,0.38
Node_3320,Normal,0.26,0.39,0.95,191,66,6,5,0.17,0.02,49,3,0,0.36
Node_3321,Normal,0.51,0.81,0.69,28,94,19,24,0.96,0.23,53,14,2,0.32
Node_3322,Normal,0.4,0.66,0.83,370,57,7,12,0.36,0.1,17,0,0,0.9
Node_3323,Normal,0.65,0.39,0.45,469,95,15,13,0.5,0.26,40,32,1,0.47
Node_3324,Suspicious,0.32,0.42,0.12,129,391,9,1,0.7,0.13,65,9,9,0.55
Node_3325,Normal,0.18,0.47,0.88,283,16,4,15,0.45,0.04,26,44,1,0.8
Node_3326,Normal,0.35,0.35,0.47,165,38,0,33,0.89,0.16,91,43,0,0.53
Node_3327,Suspicious,0.69,0.61,0.37,160,142,6,4,0.98,0.36,21,15,0,0.33
Node_3328,Normal,0.85,0.42,0.19,45,99,9,38,0.66,0.47,85,32,1,0.72
Node_3329,Normal,0.44,0.43,0.26,157,33,17,22,0.32,0.4,61,6,0,0.86
Node_3330,Normal,0.49,0.31,0.52,404,79,4,23,0.61,0.08,6,50,0,0.97
Node_3331,Normal,0.6,0.44,0.35,390,25,16,14,0.56,0.01,75,47,0,0.5
Node_3332,Normal,0.51,0.75,0.11,172,50,20,31,0.68,0.43,67,4,0,0.4
Node_3333,Suspicious,0.78,0.32,0.59,247,351,19,24,0.77,0.48,0,39,6,0.22
Node_3334,Suspicious,0.53,0.6,0.36,277,50,16,35,0.67,0.22,91,38,7,0.47
Node_3335,Normal,0.38,0.28,0.54,418,71,10,23,0.51,0.2,88,33,2,0.35
Node_3336,Normal,0.77,0.66,0.63,137,87,4,37,0.7,0.2,96,14,1,0.44
Node_3337,Normal,0.75,0.55,0.94,364,37,4,23,0.16,0.03,4,49,2,0.74
Node_3338,Normal,0.66,0.22,0.32,476,53,8,17,0.17,0.06,50,16,0,0.69
Node_3339,Normal,0.79,0.83,0.78,475,22,15,12,0.84,0.17,74,11,1,0.83
Node_3340,Normal,0.52,0.55,0.13,490,79,10,26,0.18,0.01,51,27,0,0.9
Node_3341,Normal,0.17,0.52,0.43,449,50,8,9,0.35,0.28,19,18,2,0.31
Node_3342,Normal,0.62,0.55,0.88,276,91,0,36,0.44,0.33,85,31,1,0.8
Node_3343,Normal,0.88,0.67,0.45,368,2,17,7,0.89,0.11,52,12,1,0.75
Node_3344,Normal,0.74,0.67,0.18,47,97,2,30,0.58,0.02,39,25,0,0.86
Node_3345,Normal,0.42,0.79,0.86,127,99,4,40,0.22,0.1,55,47,1,0.96
Node_3346,Normal,0.44,0.41,0.95,15,20,13,14,0.65,0.29,39,1,2,0.58
Node_3347,Normal,0.22,0.16,0.49,438,73,3,23,0.35,0.03,69,31,0,0.42
Node_3348,Normal,0.19,0.52,0.84,191,94,14,23,0.77,0.16,90,13,2,0.52
Node_3349,Normal,0.47,0.62,0.76,404,26,0,3,0.99,0.39,94,31,1,0.58
Node_3350,Normal,0.53,0.72,0.59,56,80,18,12,0.66,0.47,14,49,1,0.68
Node_3351,Normal,0.5,0.14,0.21,423,61,7,32,0.93,0.48,60,41,2,0.93
Node_3352,Normal,0.75,0.5,0.28,97,68,13,40,0.1,0.34,48,44,1,0.76
Node_3353,Normal,0.11,0.11,0.44,80,71,13,23,0.98,0.14,27,9,2,0.73
Node_3354,Normal,0.11,0.74,0.65,156,10,12,37,0.92,0.19,38,25,2,0.54
Node_3355,Normal,0.2,0.23,0.39,62,92,8,13,0.34,0.12,77,0,1,0.47
Node_3356,Normal,0.43,0.35,0.29,211,54,2,15,0.56,0.39,93,49,0,0.63
Node_3357,Suspicious,0.12,0.7,0.3,352,147,7,13,0.18,0.19,10,48,2,0.31
Node_3358,Suspicious,0.27,0.12,0.69,435,81,18,6,0.63,0.16,89,47,6,0.22
Node_3359,Normal,0.39,0.85,0.8,168,78,14,6,0.34,0.25,81,3,0,0.65
Node_3360,Normal,0.5,0.3,0.24,386,67,11,24,0.47,0.03,13,21,2,0.58
Node_3361,Normal,0.61,0.34,0.97,131,56,17,40,0.78,0.5,83,8,0,0.88
Node_3362,Normal,0.34,0.41,0.46,322,5,6,15,0.43,0.2,71,50,2,0.43
Node_3363,Confirmed Black Hole,0.15,0.44,0.78,338,316,14,15,0.27,0.47,68,1,7,0.48
Node_3364,Confirmed Black Hole,0.07,0.35,0.52,57,28,8,27,0.47,0.27,40,15,7,0.5
Node_3365,Normal,0.85,0.55,0.93,160,56,0,27,0.74,0.23,71,38,0,0.56
Node_3366,Confirmed Black Hole,0.2,0.39,0.58,343,343,17,10,0.11,0.18,35,32,6,0.29
Node_3367,Normal,0.85,0.28,0.49,472,47,8,9,0.91,0.4,12,23,1,0.32
Node_3368,Normal,0.4,0.88,0.82,485,67,3,34,0.31,0.43,14,9,0,0.43
Node_3369,Normal,0.25,0.56,0.63,164,14,16,36,0.22,0.08,19,0,0,0.49
Node_3370,Normal,0.8,0.33,0.13,356,70,17,17,0.24,0.22,58,38,1,0.75
Node_3371,Normal,0.28,0.6,0.82,380,2,14,29,0.11,0.23,67,13,0,0.48
Node_3372,Confirmed Black Hole,0.1,0.88,0.62,462,368,12,9,0.33,0.39,81,41,3,0.3
Node_3373,Normal,0.15,0.18,0.99,276,88,18,29,0.81,0.07,36,21,0,0.32
Node_3374,Normal,0.28,0.17,0.48,408,71,0,18,0.29,0.26,18,10,0,0.4
Node_3375,Normal,0.49,0.75,0.64,18,83,12,10,0.19,0.28,89,2,0,0.9
Node_3376,Normal,0.32,0.42,0.34,460,52,9,17,0.83,0.41,74,2,2,0.73
Node_3377,Normal,0.55,0.26,0.39,282,88,9,23,0.5,0.42,96,1,2,0.65
Node_3378,Normal,0.26,0.75,0.32,345,64,15,17,0.42,0.08,100,40,0,0.43
Node_3379,Confirmed Black Hole,0.13,0.45,0.34,131,375,6,14,0.68,0.26,60,30,7,0.16
Node_3380,Suspicious,0.24,0.1,0.97,363,10,6,28,0.44,0.27,96,20,10,0.55
Node_3381,Suspicious,0.14,0.55,0.34,396,324,12,36,0.62,0.29,28,19,2,0.18
Node_3382,Normal,0.23,0.66,0.59,290,12,20,29,0.96,0.31,20,34,2,0.74
Node_3383,Normal,0.56,0.13,0.77,277,79,11,11,0.98,0.28,61,26,0,0.47
Node_3384,Normal,0.74,0.87,0.48,135,30,12,20,0.21,0.4,6,3,0,0.99
Node_3385,Normal,0.48,0.6,0.33,211,91,6,23,0.26,0.25,53,8,1,0.65
Node_3386,Normal,0.44,0.52,0.17,325,85,20,31,0.3,0.15,28,25,1,0.81
Node_3387,Normal,0.82,0.48,0.97,267,71,8,30,0.9,0.08,10,27,2,0.99
